YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-09,WEEKDAY,10,TRAIN,SE3,2509,1017
2021-09,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3,3279,4229
2021-09,WEEKDAY,9,TRAIN,EW16/NE3,12743,36361
2021-09,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,11664,16001
2021-09,WEEKDAY,18,TRAIN,NE16/STC,39958,75717
2021-09,WEEKDAY,6,TRAIN,CC16,6221,3287
2021-09,WEEKENDS/HOLIDAY,6,TRAIN,CC16,811,540
2021-09,WEEKDAY,13,TRAIN,TE4,2577,2126
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,TE4,1560,1324
2021-09,WEEKENDS/HOLIDAY,11,TRAIN,BP12,708,538
2021-09,WEEKDAY,11,TRAIN,BP12,1959,1038
2021-09,WEEKDAY,13,TRAIN,NE17/PTC,29791,29241
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,12861,12210
2021-09,WEEKDAY,15,TRAIN,EW23,32730,27416
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,EW23,11221,11130
2021-09,WEEKDAY,20,TRAIN,NE8,17586,17024
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,NE8,9456,6376
2021-09,WEEKENDS/HOLIDAY,19,TRAIN,EW33,997,1001
2021-09,WEEKDAY,19,TRAIN,EW33,4551,2369
2021-09,WEEKENDS/HOLIDAY,7,TRAIN,BP5,534,303
2021-09,WEEKDAY,7,TRAIN,BP5,4831,3473
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,SW6,1056,321
2021-09,WEEKDAY,8,TRAIN,SW6,5643,1800
2021-09,WEEKDAY,16,TRAIN,EW4,10940,9590
2021-09,WEEKENDS/HOLIDAY,16,TRAIN,EW4,3369,3319
2021-09,WEEKDAY,14,TRAIN,CC2,1785,2645
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,CC2,878,1039
2021-09,WEEKDAY,12,TRAIN,NE14,22205,15102
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,NE14,9772,6580
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,15016,5752
2021-09,WEEKDAY,20,TRAIN,NE4/DT19,38850,14656
2021-09,WEEKDAY,0,TRAIN,SE5,16,155
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,SE5,17,64
2021-09,WEEKENDS/HOLIDAY,23,TRAIN,EW6,344,1302
2021-09,WEEKDAY,23,TRAIN,EW6,761,3565
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,1791,5106
2021-09,WEEKDAY,12,TRAIN,CC4/DT15,5386,11647
2021-09,WEEKDAY,15,TRAIN,NE4/DT19,32101,28655
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,14812,13217
2021-09,WEEKDAY,8,TRAIN,SW1,1741,4188
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,SW1,370,289
2021-09,WEEKENDS/HOLIDAY,9,TRAIN,NS10,15355,6359
2021-09,WEEKDAY,9,TRAIN,NS10,45471,20302
2021-09,WEEKENDS/HOLIDAY,7,TRAIN,DT33,4420,1565
2021-09,WEEKDAY,7,TRAIN,DT33,41947,14124
2021-09,WEEKDAY,0,TRAIN,DT24,14,268
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,DT24,5,108
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,NS18,60,335
2021-09,WEEKDAY,0,TRAIN,NS18,136,903
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,8406,1642
2021-09,WEEKDAY,22,TRAIN,NS24/NE6/CC1,21579,4097
2021-09,WEEKDAY,21,TRAIN,EW3,6737,12352
2021-09,WEEKENDS/HOLIDAY,21,TRAIN,EW3,2270,4254
2021-09,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,2990,457
2021-09,WEEKDAY,21,TRAIN,CG1/DT35,8430,1102
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,15222,15566
2021-09,WEEKDAY,13,TRAIN,NS21/DT11,32497,37129
2021-09,WEEKDAY,7,TRAIN,CC23,3204,21443
2021-09,WEEKENDS/HOLIDAY,7,TRAIN,CC23,816,2347
2021-09,WEEKENDS/HOLIDAY,16,TRAIN,SW1,568,330
2021-09,WEEKDAY,16,TRAIN,SW1,2982,1351
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,NE15,1566,6131
2021-09,WEEKDAY,20,TRAIN,NE15,4513,19793
2021-09,WEEKDAY,13,TRAIN,EW29,6037,4480
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,EW29,3241,1929
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,EW30,487,113
2021-09,WEEKDAY,13,TRAIN,EW30,933,409
2021-09,WEEKENDS/HOLIDAY,7,TRAIN,EW32,1060,3786
2021-09,WEEKDAY,7,TRAIN,EW32,2695,25121
2021-09,WEEKDAY,7,TRAIN,NE14,55224,26840
2021-09,WEEKENDS/HOLIDAY,7,TRAIN,NE14,7001,3509
2021-09,WEEKDAY,13,TRAIN,SE3,2895,2270
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,SE3,874,751
2021-09,WEEKDAY,20,TRAIN,EW30,6271,596
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,EW30,674,353
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,5199,2231
2021-09,WEEKDAY,12,TRAIN,NS17/CC15,12500,5555
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,EW26,7041,7012
2021-09,WEEKDAY,15,TRAIN,EW26,16753,18507
2021-09,WEEKENDS/HOLIDAY,9,TRAIN,EW23,9907,9419
2021-09,WEEKDAY,9,TRAIN,EW23,26338,31061
2021-09,WEEKDAY,21,TRAIN,DT34,1134,2059
2021-09,WEEKENDS/HOLIDAY,21,TRAIN,DT34,271,837
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,DT5,2308,2737
2021-09,WEEKDAY,20,TRAIN,DT5,6221,7492
2021-09,WEEKDAY,15,TRAIN,DT22,3427,3811
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,DT22,1646,2092
2021-09,WEEKDAY,21,TRAIN,CC27,2119,359
2021-09,WEEKENDS/HOLIDAY,21,TRAIN,CC27,586,102
2021-09,WEEKDAY,15,TRAIN,SE4,1961,2795
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,SE4,834,929
2021-09,WEEKDAY,19,TRAIN,PW6,572,1731
2021-09,WEEKENDS/HOLIDAY,19,TRAIN,PW6,173,354
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,NE10,2903,2711
2021-09,WEEKDAY,8,TRAIN,NE10,16127,20554
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,NS5,6668,7968
2021-09,WEEKDAY,15,TRAIN,NS5,15896,21415
2021-09,WEEKENDS/HOLIDAY,11,TRAIN,DT13,1509,3065
2021-09,WEEKDAY,11,TRAIN,DT13,3552,7923
2021-09,WEEKDAY,20,TRAIN,DT27,4873,4304
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,DT27,886,1457
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,SW3,253,686
2021-09,WEEKDAY,20,TRAIN,SW3,620,2324
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3,4613,3310
2021-09,WEEKDAY,14,TRAIN,EW16/NE3,16782,19605
2021-09,WEEKDAY,19,TRAIN,EW26,19957,47342
2021-09,WEEKENDS/HOLIDAY,19,TRAIN,EW26,6536,9931
2021-09,WEEKENDS/HOLIDAY,6,TRAIN,BP3,1073,178
2021-09,WEEKDAY,6,TRAIN,BP3,9210,1062
2021-09,WEEKDAY,13,TRAIN,EW12/DT14,21565,28493
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,10125,15200
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,CG2,1305,2112
2021-09,WEEKDAY,8,TRAIN,CG2,3580,10109
2021-09,WEEKDAY,10,TRAIN,NS4/BP1,22273,17786
2021-09,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,9505,7213
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,NS5,2523,6699
2021-09,WEEKDAY,22,TRAIN,NS5,5918,18275
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,SE3,78,795
2021-09,WEEKDAY,22,TRAIN,SE3,276,2161
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,NE13,3610,4877
2021-09,WEEKDAY,20,TRAIN,NE13,10434,15489
2021-09,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,2882,2852
2021-09,WEEKDAY,19,TRAIN,NS17/CC15,10732,13173
2021-09,WEEKDAY,14,TRAIN,TE8,4181,3964
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,TE8,2433,2062
2021-09,WEEKDAY,23,TRAIN,CC17/TE9,359,1245
2021-09,WEEKENDS/HOLIDAY,23,TRAIN,CC17/TE9,160,471
2021-09,WEEKENDS/HOLIDAY,10,TRAIN,DT18,498,1657
2021-09,WEEKDAY,10,TRAIN,DT18,2576,11084
2021-09,WEEKENDS/HOLIDAY,19,TRAIN,EW23,9989,11229
2021-09,WEEKDAY,19,TRAIN,EW23,39860,45903
